,target_phishYN,prediction,rounded,acc_phish,acc_file
24,0,0,0,0.910837438,0.835447727
27,0,0,0,0.910837438,0.835447727
29,0,0,0,0.910837438,0.835447727
42,1,0,0,0.910837438,0.835447727
47,0,0,0,0.910837438,0.835447727
54,0,0,0,0.910837438,0.835447727
73,0,0,0,0.910837438,0.835447727
93,0,1.35E-10,0,0.910837438,0.835447727
100,0,3.48E-31,0,0.910837438,0.835447727
131,0,0,0,0.910837438,0.835447727
138,0,0,0,0.910837438,0.835447727
159,0,0,0,0.910837438,0.835447727
160,0,9.25E-06,0,0.910837438,0.835447727
203,0,0.001129487,0,0.910837438,0.835447727
210,0,3.10E-32,0,0.910837438,0.835447727
242,0,4.67E-06,0,0.910837438,0.835447727
249,0,9.98E-07,0,0.910837438,0.835447727
251,1,2.11E-06,0,0.910837438,0.835447727
252,0,0.00055514,0,0.910837438,0.835447727
258,1,0.047697615,0,0.910837438,0.835447727
259,0,1.99E-30,0,0.910837438,0.835447727
278,0,0.000268511,0,0.910837438,0.835447727
300,0,1.88E-09,0,0.910837438,0.835447727
321,1,4.42E-05,0,0.910837438,0.835447727
322,0,0.056283426,0,0.910837438,0.835447727
323,0,0.05264766,0,0.910837438,0.835447727
327,0,0.000365145,0,0.910837438,0.835447727
328,0,5.81E-05,0,0.910837438,0.835447727
333,0,0.006738612,0,0.910837438,0.835447727
334,0,0.000201719,0,0.910837438,0.835447727
338,0,0.038808785,0,0.910837438,0.835447727
348,0,0.004501736,0,0.910837438,0.835447727
351,0,5.91E-05,0,0.910837438,0.835447727
354,0,2.69E-06,0,0.910837438,0.835447727
355,0,2.27E-08,0,0.910837438,0.835447727
372,0,0.011832307,0,0.910837438,0.835447727
378,0,0.002519517,0,0.910837438,0.835447727
392,0,0.035444517,0,0.910837438,0.835447727
409,0,0.000970679,0,0.910837438,0.835447727
411,0,0.000300532,0,0.910837438,0.835447727
424,0,0.05512174,0,0.910837438,0.835447727
426,0,0.005195117,0,0.910837438,0.835447727
447,0,0.08640518,0,0.910837438,0.835447727
450,1,0.00017849,0,0.910837438,0.835447727
456,0,6.24E-08,0,0.910837438,0.835447727
462,0,0.026115082,0,0.910837438,0.835447727
469,1,0.005471708,0,0.910837438,0.835447727
533,0,0.004282141,0,0.910837438,0.835447727
542,0,0.007763055,0,0.910837438,0.835447727
552,0,0.05696017,0,0.910837438,0.835447727
557,0,0.04141245,0,0.910837438,0.835447727
559,0,0.056690626,0,0.910837438,0.835447727
572,0,0.021996811,0,0.910837438,0.835447727
588,0,0.001693159,0,0.910837438,0.835447727
615,0,0.002196203,0,0.910837438,0.835447727
616,0,0.005065463,0,0.910837438,0.835447727
630,1,0.001301448,0,0.910837438,0.835447727
636,0,0.00272041,0,0.910837438,0.835447727
651,0,0.001306055,0,0.910837438,0.835447727
670,0,0.000151794,0,0.910837438,0.835447727
675,0,0.021743871,0,0.910837438,0.835447727
689,0,0.08283499,0,0.910837438,0.835447727
694,0,0.02240555,0,0.910837438,0.835447727
713,0,0.031883463,0,0.910837438,0.835447727
720,0,0.105919614,0,0.910837438,0.835447727
729,1,0.012733087,0,0.910837438,0.835447727
740,0,0.016025018,0,0.910837438,0.835447727
743,0,0.021254359,0,0.910837438,0.835447727
750,0,0.023043195,0,0.910837438,0.835447727
763,1,0.012241933,0,0.910837438,0.835447727
773,0,0.020048248,0,0.910837438,0.835447727
780,1,0.109104924,0,0.910837438,0.835447727
797,1,0.001753084,0,0.910837438,0.835447727
803,0,0.003103436,0,0.910837438,0.835447727
811,0,0.003294008,0,0.910837438,0.835447727
812,0,0.011148013,0,0.910837438,0.835447727
816,0,0.006356258,0,0.910837438,0.835447727
817,0,0.004480511,0,0.910837438,0.835447727
820,1,0.013761898,0,0.910837438,0.835447727
825,0,0.004664202,0,0.910837438,0.835447727
826,0,0.12769574,0,0.910837438,0.835447727
829,0,0.000666515,0,0.910837438,0.835447727
848,0,0.06464863,0,0.910837438,0.835447727
873,0,0.014845562,0,0.910837438,0.835447727
888,0,0.03688757,0,0.910837438,0.835447727
893,0,0.025619641,0,0.910837438,0.835447727
894,0,0.014787233,0,0.910837438,0.835447727
897,0,0.04031876,0,0.910837438,0.835447727
910,0,0.002880566,0,0.910837438,0.835447727
917,1,0.043433204,0,0.910837438,0.835447727
920,0,0.03515307,0,0.910837438,0.835447727
936,0,0.03846324,0,0.910837438,0.835447727
947,1,0.05673321,0,0.910837438,0.835447727
961,0,0.096407175,0,0.910837438,0.835447727
965,0,0.019225333,0,0.910837438,0.835447727
966,0,0.1234658,0,0.910837438,0.835447727
991,0,0.003102622,0,0.910837438,0.835447727
1007,0,0.00533681,0,0.910837438,0.835447727
1013,0,0.003933482,0,0.910837438,0.835447727
1015,0,0.003644025,0,0.910837438,0.835447727
